606532908	2770252349
606532908	1736893536
180111748	329276061
180111748	2312659651
180111748	21651982
180111748	598925796
180111748	88078856
180111748	17561562
17637601	15728423
17637601	18220818
17637601	104626843
17637601	31513326
17637601	19416225
17839060	104608458
17839060	89675715
149109233	29018320
2710758261	2558435512
718651225	25049056
19358185	19416225
2737442363	105327432
154161659	19416225
154161659	25049056
25484835	56030702
163576353	49631876
19899606	17561562
19899606	2312659651
19899606	35711113
31103963	25049056
272114850	351257454
520820898	279164084
258102381	247503994
258102381	329276061
258102381	88078856
258102381	526463447
258102381	21651982
258102381	598925796
258102381	18810387
258102381	45474081
513051520	25049056
573061135	255340540
573061135	253681200
2558435512	25049056
2558435512	2710758261
2359028480	2312659651
2359028480	19899606
2359028480	25049056
2359028480	17561562
2359028480	279164084
294044740	29018320
294044740	25049056
2903053296	19416225
56030702	25484835
56030702	25049056
1670896333	1611306366
29018320	351257454
25562750	277275792
32446371	15896379
35711113	15921296
35711113	19899606
16847779	132477429
2434619407	15917486
68760726	526463447
68760726	21651982
68760726	15120279
68760726	18810387
68760726	88078856
63170671	29018320
2494313337	421073850
334707038	277561227
334707038	2288799413
334707038	247503994
334707038	598925796
334707038	21651982
334707038	17561562
334707038	25049056
933865238	25049056
933865238	15896379
177332296	538400682
19416225	25049056
19416225	35038762
19416225	104608458
19416225	16737566
81332619	16936237
58711646	2342483699
58711646	18565227
242833879	294044740
563760715	25049056
130134724	226231926
598925796	334707038
598925796	526463447
598925796	45474081
598925796	88078856
598925796	258102381
598925796	21651982
598925796	43552063
598925796	18810387
598925796	789025662
598925796	180111748
598925796	19416225
29598780	362858045
2587157964	19899606
17076793	18220818
1358290958	598925796
1358290958	2913910685
1358290958	21651982
307694418	21651982
307694418	277561227
307694418	102590831
307694418	23113171
307694418	79597193
165406154	294044740
17853818	29018320
16329666	458846692
2187387666	25049056
1658936412	25049056
104608458	19416225
847315447	351257454
21651982	2359028480
21651982	2952726741
21651982	2171653025
21651982	2288799413
21651982	2913910685
21651982	15876810
21651982	789025662
21651982	307694418
21651982	2535748428
21651982	1691499066
21651982	1358290958
21651982	2293139616
21651982	180111748
21651982	329276061
21651982	88078856
21651982	538400682
21651982	247503994
21651982	334707038
21651982	898992114
21651982	45474081
21651982	526463447
21651982	68760726
21651982	258102381
21651982	598925796
21651982	18810387
1611306366	25049056
1611306366	15970295
1917024444	19416225
1917024444	25049056
15917486	25049056
17561562	19416225
351257454	29018320
351257454	303647815
15896379	419665502
15896379	933865238
15896379	1395923928
15896379	32446371
15896379	18220818
15896379	377619841
15896379	192880747
15896379	272323854
15896379	14517394
15896379	25049056
15896379	88078856
15896379	31513326
228077941	29018320
228077941	454663067
533578801	25049056
257492276	25049056
303647815	351257454
2266409700	224586804
79597193	307694418
79844482	19416225
1370664036	493611144
1370664036	17561562
19610536	23153246
77068843	18220818
77068843	21907665
512008900	25049056
2455545752	88078856
44602339	25049056
44602339	19899606
18810387	247503994
18810387	898992114
18810387	105327432
18810387	19416225
18810387	68760726
18810387	258102381
18810387	45474081
18810387	21651982
18810387	598925796
18810387	526463447
18810387	277561227
422479459	104154637
422479459	25049056
179449261	1521843552
1513374272	25049056
458970566	21157038
26379293	19416225
26379293	18220818
26379293	131276455
2535748428	21651982
298488764	25049056
298488764	14612713
613627524	356697618
613627524	1521843552
613627524	421073850
319139187	19416225
16737566	19416225
2312659651	2359028480
2312659651	272114850
2312659651	2602633209
2312659651	180111748
2312659651	1030148054
2312659651	17561562
2312659651	19899606
2312659651	25049056
165836392	252603199
165836392	458846692
1917733734	25049056
279164084	209077595
279164084	25049056
279164084	18220818
18565227	58711646
25049056	2160723469
25049056	294044740
25049056	88078856
324313635	29018320
324313635	351257454
105327432	19416225
105327432	18810387
493611144	1370664036
2952726741	19899606
2288799413	334707038
2288799413	17561562
17264634	253126912
18220818	26379293
18220818	1594552315
18220818	454663067
18220818	77068843
18220818	17076793
18220818	17637601
18220818	254663576
18220818	15896379
18220818	279164084
272323854	15896379
16936237	370841911
16936237	62786647
16936237	81332619
16936237	34779125
16936237	456979700
16936237	253126912
16936237	158634590
16936237	104154637
2293139616	21651982
603549278	252603199
876606409	19899606
253681200	917605388
253681200	573061135
16085265	2314131617
16085265	331840190
16085265	23153246
2330266332	1282292556
2330266332	277275792
186035203	298488764
68494155	158634590
68494155	41316456
26724222	25049056
163429466	25049056
27236550	17561562
19147906	114773910
211685069	25049056
211685069	45321943
29059327	25049056
29059327	69001087
14517394	15896379
234449011	800204802
234449011	369425123
234449011	373817542
369107745	2512633974
369107745	369425123
47672738	91937087
47672738	19416225
1061033942	19899606
247448426	352367921
35482645	25049056
2966364567	22971476
326824006	224586804
326824006	423208251
29208487	50969839
88247180	50969839
78151744	19416225
64217337	19416225
114773910	19147906
114773910	25049056
